                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.79282,                 1.4588,                 0.9014,                  1.139,                0.47482,                0.43404,                0.44895,                0.31201,                 0.4909,                0.42687,                0.45247,                0.28142,                0.99043,                  1.752,                 1.2775,                 1.3174,              0.0095644,              0.0095644,              0.0095644
                     46,                0.79995,                  1.486,                0.89288,                 1.1354,                0.51839,                 0.3928,                0.43265,                 0.2982,                0.52214,                 0.3949,                0.43513,                0.26997,                  1.005,                 1.8456,                 1.3824,                 1.3325,              0.0095545,              0.0095545,              0.0095545
                     47,                0.79525,                 1.4506,                0.87076,                 1.1336,                0.37509,                0.51759,                0.41928,                0.29238,                0.40057,                0.48756,                0.42026,                0.26497,                0.95018,                 1.7368,                 1.4028,                  1.317,              0.0095446,              0.0095446,              0.0095446
                     48,                0.77744,                 1.4188,                0.86173,                 1.1297,                0.50691,                0.42215,                0.43644,                0.30587,                0.51033,                0.42474,                0.43894,                0.27552,                0.94543,                 1.7286,                 1.3368,                 1.2705,              0.0095347,              0.0095347,              0.0095347
                     49,                0.78066,                 1.4321,                0.85861,                 1.1258,                0.49268,                0.41882,                0.43772,                0.30716,                0.49493,                0.42089,                0.44281,                0.27659,                0.95533,                 1.7624,                 1.3833,                 1.3033,              0.0095248,              0.0095248,              0.0095248
                     50,                0.76641,                 1.4034,                0.85834,                 1.1193,                0.49706,                0.44287,                0.43832,                 0.3044,                0.50255,                0.43806,                0.44114,                0.27154,                 0.9579,                 1.7141,                 1.2863,                 1.3008,              0.0095149,              0.0095149,              0.0095149
                     51,                0.78186,                 1.4265,                0.84994,                 1.1192,                0.43128,                0.46837,                0.44791,                0.31285,                0.44593,                0.48034,                0.45013,                0.27554,                0.98175,                 1.8688,                 1.4363,                 1.3171,               0.009505,               0.009505,               0.009505
                     52,                0.75057,                 1.3612,                0.80799,                 1.0998,                 0.4983,                0.48963,                0.45255,                0.32051,                0.50147,                0.49085,                0.45944,                0.28872,                0.93944,                 1.6791,                   1.28,                 1.2785,              0.0094951,              0.0094951,              0.0094951
                     53,                 0.7593,                 1.3753,                0.82022,                 1.1085,                0.42277,                0.50584,                0.45059,                0.30511,                0.42659,                0.51076,                0.45336,                 0.2717,                0.97154,                 1.7914,                 1.3451,                  1.319,              0.0094852,              0.0094852,              0.0094852
                     54,                0.75153,                  1.366,                0.81487,                 1.1042,                0.48688,                0.42482,                0.44168,                0.30591,                0.48848,                0.42897,                 0.4486,                0.27624,                0.95759,                 1.7384,                 1.3368,                 1.3252,              0.0094753,              0.0094753,              0.0094753
                     55,                0.75054,                 1.3795,                 0.8054,                 1.1048,                0.48309,                 0.4236,                0.43179,                0.29646,                0.48755,                0.42404,                0.43407,                0.26569,                0.97376,                 1.7476,                 1.4245,                 1.3072,              0.0094654,              0.0094654,              0.0094654
                     56,                0.75221,                 1.3886,                0.81374,                 1.1115,                0.39828,                0.39708,                0.40524,                0.27579,                 0.3995,                0.40388,                0.41206,                0.24915,                 1.0379,                 1.9142,                 1.4895,                 1.3768,              0.0094555,              0.0094555,              0.0094555
                     57,                 0.7376,                 1.3419,                0.80614,                 1.0982,                0.42103,                0.51684,                0.44681,                0.31752,                 0.4205,                 0.5162,                0.44774,                0.28286,                0.92644,                 1.7232,                 1.3149,                 1.2974,              0.0094456,              0.0094456,              0.0094456
                     58,                 0.7512,                 1.3804,                0.80016,                 1.1102,                0.43439,                0.47666,                0.44011,                0.30747,                0.43631,                0.47279,                0.44163,                0.27327,                 1.0102,                 1.8525,                 1.3311,                  1.339,              0.0094357,              0.0094357,              0.0094357
                     59,                0.73976,                 1.3275,                0.78067,                 1.0896,                 0.4952,                0.43379,                 0.4405,                0.30974,                0.49537,                0.43374,                0.44312,                0.28044,                0.94865,                 1.7127,                 1.3495,                 1.2915,              0.0094258,              0.0094258,              0.0094258
                     60,                0.71927,                  1.315,                0.77578,                 1.0854,                0.52546,                0.50066,                0.47171,                0.33544,                0.52812,                0.50159,                0.47531,                0.30279,                0.94651,                  1.696,                 1.3288,                 1.3241,              0.0094159,              0.0094159,              0.0094159
                     61,                0.72144,                 1.3166,                0.78345,                 1.0894,                0.39158,                0.41785,                0.42642,                0.29852,                0.39345,                0.41904,                0.42905,                0.26619,                0.97474,                 1.7757,                 1.3608,                 1.3257,               0.009406,               0.009406,               0.009406
                     62,                0.73212,                 1.3088,                0.77401,                 1.0904,                 0.5023,                0.43423,                0.44907,                0.30681,                 0.5088,                0.43676,                0.45498,                0.28265,                 0.9828,                 1.7818,                 1.3612,                 1.3402,              0.0093961,              0.0093961,              0.0093961
                     63,                0.72209,                 1.3198,                0.75176,                 1.0931,                0.65177,                0.42646,                0.47065,                0.33574,                0.65385,                0.42663,                0.47061,                0.29444,                0.93878,                 1.7442,                  1.249,                 1.3019,              0.0093862,              0.0093862,              0.0093862
                     64,                0.72478,                 1.3109,                0.76446,                 1.0927,                 0.4288,                0.44529,                0.42476,                0.28809,                0.43276,                0.44899,                0.43134,                0.25935,                 1.0703,                 1.9265,                 1.4344,                 1.4109,              0.0093763,              0.0093763,              0.0093763
                     65,                 0.7217,                 1.3132,                0.76915,                 1.0955,                0.43717,                0.44732,                0.42668,                0.29556,                0.43375,                 0.4453,                0.42918,                 0.2654,                 1.0413,                 1.8937,                 1.3721,                 1.3932,              0.0093664,              0.0093664,              0.0093664
                     66,                0.71155,                 1.3194,                0.73619,                 1.0875,                0.60548,                0.43549,                0.46339,                0.31949,                0.60895,                0.43821,                0.46628,                0.29495,                0.95584,                 1.7581,                 1.3837,                 1.3087,              0.0093565,              0.0093565,              0.0093565
                     67,                0.71651,                 1.3171,                0.74364,                 1.0787,                0.51724,                0.46851,                 0.4589,                 0.3178,                0.52158,                0.46893,                0.46176,                0.29557,                0.96056,                 1.7387,                 1.2747,                 1.3217,              0.0093466,              0.0093466,              0.0093466
                     68,                0.71883,                 1.3081,                0.74009,                 1.0786,                0.42325,                0.47268,                0.43547,                0.30919,                0.42629,                0.47623,                0.44169,                0.28266,                0.98295,                 1.7494,                 1.3603,                 1.3278,              0.0093367,              0.0093367,              0.0093367
                     69,                0.70476,                  1.281,                0.73399,                  1.083,                0.49181,                0.42986,                0.46549,                0.32378,                0.49431,                0.43331,                0.46904,                0.29504,                0.94181,                 1.6881,                 1.3413,                 1.3218,              0.0093268,              0.0093268,              0.0093268
                     70,                0.69909,                 1.2888,                0.73194,                 1.0807,                0.54576,                0.45376,                0.45968,                 0.3332,                0.54814,                0.45551,                0.46292,                0.29902,                0.94349,                  1.673,                 1.2761,                 1.3231,              0.0093169,              0.0093169,              0.0093169
                     71,                0.69926,                 1.2597,                0.72667,                 1.0653,                0.40111,                0.44465,                0.42149,                0.30608,                0.40404,                0.44738,                0.42524,                0.27744,                0.95782,                 1.7593,                 1.4152,                 1.3155,               0.009307,               0.009307,               0.009307
                     72,                0.71294,                 1.3065,                0.73137,                 1.0746,                0.44427,                0.42918,                0.43931,                0.30948,                0.45042,                0.43494,                0.44565,                0.28162,                0.98101,                 1.7811,                 1.3377,                 1.3355,              0.0092971,              0.0092971,              0.0092971
                     73,                0.70179,                 1.2755,                0.71722,                 1.0653,                0.61412,                0.44207,                0.45747,                0.32242,                0.61521,                0.44304,                0.45745,                 0.2895,                0.97514,                  1.784,                 1.3277,                 1.3607,              0.0092872,              0.0092872,              0.0092872
                     74,                0.68805,                 1.2533,                0.70128,                 1.0587,                0.43523,                0.42367,                0.42727,                0.30283,                0.43877,                0.43488,                0.43506,                0.27225,                0.98576,                  1.776,                 1.3977,                 1.3539,              0.0092773,              0.0092773,              0.0092773
                     75,                0.68748,                 1.2483,                0.69611,                  1.062,                0.62226,                0.44195,                0.47594,                0.33814,                0.63715,                0.44116,                0.47732,                0.30773,                0.93984,                 1.6682,                 1.2836,                 1.3168,              0.0092674,              0.0092674,              0.0092674
                     76,                0.68236,                 1.2401,                0.68526,                 1.0565,                0.36979,                0.47064,                0.44456,                0.31218,                0.37316,                0.47239,                0.45022,                0.27951,                0.94372,                 1.7616,                 1.3587,                 1.3212,              0.0092575,              0.0092575,              0.0092575
                     77,                0.67884,                 1.2334,                0.68591,                 1.0589,                0.41369,                0.45641,                0.41528,                0.29374,                0.46686,                0.38783,                0.41465,                0.26346,                0.99349,                 1.8451,                 1.5001,                 1.3586,              0.0092476,              0.0092476,              0.0092476
                     78,                0.69423,                 1.2569,                0.69828,                 1.0687,                0.47177,                0.48042,                 0.4552,                0.31982,                0.47235,                0.48576,                0.45739,                0.28712,                0.95359,                 1.7281,                 1.3173,                  1.314,              0.0092377,              0.0092377,              0.0092377
                     79,                  0.673,                 1.2239,                0.67994,                 1.0574,                0.45116,                0.52925,                0.47164,                0.32781,                0.46019,                0.52944,                0.47372,                0.29648,                0.97858,                 1.7218,                 1.4405,                 1.3485,              0.0092278,              0.0092278,              0.0092278
                     80,                0.67234,                 1.2188,                0.66215,                 1.0494,                0.51379,                0.44211,                0.46552,                0.32775,                0.51595,                0.44418,                0.46848,                0.30221,                0.93669,                  1.726,                 1.3547,                 1.3128,              0.0092179,              0.0092179,              0.0092179
                     81,                0.67099,                 1.2026,                0.66201,                 1.0446,                0.52962,                0.47005,                0.45778,                0.32568,                0.53538,                0.47023,                0.45817,                0.29145,                0.95468,                 1.7965,                 1.3543,                 1.3156,               0.009208,               0.009208,               0.009208
                     82,                0.68019,                 1.2302,                0.67145,                 1.0468,                0.47792,                0.47576,                 0.4498,                0.32129,                0.47976,                  0.477,                0.45215,                0.28863,                  0.977,                 1.7809,                  1.375,                 1.3432,              0.0091981,              0.0091981,              0.0091981
                     83,                0.67173,                 1.2322,                0.67494,                 1.0474,                0.55452,                0.41021,                 0.4522,                0.31957,                0.55592,                0.41138,                0.45197,                0.29227,                0.94105,                 1.7702,                 1.4068,                 1.3027,              0.0091882,              0.0091882,              0.0091882
                     84,                0.66678,                 1.2162,                0.66467,                 1.0527,                0.50822,                0.43034,                0.44225,                0.30634,                0.51106,                 0.4321,                0.44681,                0.27812,                0.95589,                 1.7735,                 1.3529,                 1.3144,              0.0091783,              0.0091783,              0.0091783
                     85,                0.66899,                 1.2359,                0.67173,                 1.0561,                0.44543,                0.41676,                0.44053,                 0.3157,                0.44788,                0.41897,                0.44409,                0.28217,                0.97132,                  1.764,                 1.2864,                 1.3159,              0.0091684,              0.0091684,              0.0091684
                     86,                0.64907,                 1.1893,                0.64826,                 1.0382,                0.43801,                0.56129,                0.46603,                 0.3295,                0.41547,                0.53063,                0.46199,                 0.2949,                0.94641,                 1.7454,                 1.2942,                 1.3132,              0.0091585,              0.0091585,              0.0091585
                     87,                0.66008,                 1.1778,                0.64214,                  1.044,                0.50834,                0.43513,                0.43748,                0.30292,                0.51218,                0.43677,                0.44193,                0.27707,                 1.0124,                 1.8328,                 1.3833,                 1.3763,              0.0091486,              0.0091486,              0.0091486
                     88,                0.66036,                 1.1846,                0.64098,                 1.0448,                 0.5069,                0.48399,                  0.471,                0.32905,                0.50743,                0.48617,                0.47397,                 0.3017,                0.98147,                  1.817,                 1.4328,                 1.3413,              0.0091387,              0.0091387,              0.0091387
                     89,                0.65801,                 1.1903,                0.65655,                 1.0431,                0.57642,                0.45171,                 0.4618,                0.32963,                0.58008,                 0.4527,                0.46244,                0.29484,                0.97042,                 1.7855,                 1.3101,                 1.3502,              0.0091288,              0.0091288,              0.0091288
                     90,                0.65482,                 1.2016,                0.62972,                 1.0373,                0.44596,                0.40861,                0.40608,                0.28958,                0.44926,                0.40811,                0.40913,                0.25846,                0.98697,                 1.8139,                 1.4985,                   1.35,              0.0091189,              0.0091189,              0.0091189
                     91,                0.66095,                 1.1767,                0.63296,                  1.042,                0.57009,                0.45893,                0.47914,                0.34115,                0.57304,                 0.4595,                0.48046,                0.31316,                0.95661,                 1.7203,                 1.3686,                  1.327,               0.009109,               0.009109,               0.009109
                     92,                  0.641,                 1.1655,                0.61747,                 1.0461,                0.54056,                 0.4469,                0.46646,                0.33801,                0.54475,                0.44882,                0.46867,                0.30353,                0.94724,                 1.8038,                 1.3868,                 1.3637,              0.0090991,              0.0090991,              0.0090991
                     93,                0.64737,                 1.1756,                 0.6391,                  1.045,                0.58108,                0.45805,                0.48896,                 0.3498,                0.60351,                0.44505,                0.48803,                0.31858,                0.97412,                 1.8265,                 1.3439,                  1.378,              0.0090892,              0.0090892,              0.0090892
                     94,                0.63765,                  1.151,                0.61578,                 1.0337,                0.51662,                0.48224,                0.46561,                0.33267,                0.51755,                0.48329,                0.46654,                0.29894,                0.93932,                 1.7953,                 1.3069,                 1.3384,              0.0090793,              0.0090793,              0.0090793
                     95,                0.64086,                 1.1609,                0.61659,                 1.0321,                0.54867,                0.39787,                0.42539,                0.30556,                0.55175,                0.40052,                 0.4295,                0.27443,                0.97474,                 1.8083,                 1.4267,                 1.3648,              0.0090694,              0.0090694,              0.0090694
                     96,                0.64807,                 1.1522,                0.62711,                 1.0419,                0.47612,                0.47503,                0.45213,                0.32358,                0.47851,                0.47744,                0.45604,                0.28907,                0.94774,                 1.7669,                  1.372,                 1.3294,              0.0090595,              0.0090595,              0.0090595
                     97,                  0.634,                 1.1637,                0.61608,                 1.0346,                0.61838,                0.41613,                0.44414,                0.32247,                0.61582,                0.42091,                0.44554,                0.28774,                0.95008,                 1.8214,                 1.3992,                 1.3474,              0.0090496,              0.0090496,              0.0090496
                     98,                0.63967,                 1.1458,                0.61595,                 1.0293,                0.56975,                0.42004,                 0.4449,                0.31483,                0.57142,                0.42109,                0.44483,                0.28454,                0.93404,                 1.7274,                  1.482,                 1.3169,              0.0090397,              0.0090397,              0.0090397
                     99,                 0.6334,                 1.1403,                0.60527,                 1.0275,                0.57952,                0.43615,                0.45945,                0.33199,                0.58152,                0.43778,                0.46027,                0.30175,                0.95045,                 1.7574,                 1.3558,                 1.3346,              0.0090298,              0.0090298,              0.0090298
                    100,                0.63141,                 1.1421,                0.60488,                 1.0261,                 0.5673,                0.43571,                0.45563,                0.31744,                 0.5708,                0.43888,                0.45791,                0.28392,                0.96793,                 1.7859,                 1.4575,                 1.3579,              0.0090199,              0.0090199,              0.0090199
